clause_text,risk_category
"Subject to the provisions for termination hereinafter provided, the term of this Agreement shall commence on the date hereof (the ""Effective Date"") and shall continue for a minimum period of 12 months (the ""Minimum Period"") and thereafter upon the mutual agreement of the Company and Maimon (the ""Service Term"").",Termination Risk
This Agreement shall be governed by and construed in accordance with the law of the State of New York without giving effect to the principles of conflicts of law thereof.,Standard Clause
The Company may in its discretion and at its option terminate this Agreement at any time after the Minimum Period upon five days prior written notice to Maimon.,Termination Risk
"The term of this Agreement shall be for one (1) year commencing on the Effective Date and ending  on February 19, 2013 (""Term"").",Termination Risk
"Regardless of the place of execution hereof, this Agreement, all amendments hereto, and any and all  issues or controversies arising here from or related hereto, shall be governed by and construed exclusively in  accordance with the laws and decisions of the State of Georgia.",Standard Clause
In the event the Production Session exceeds eight (8) hours in duration HDS and  Celebrity will negotiate in good faith additional compensation to Celebrity for time in excess of eight (8)  hours.,Payment Risk
"Media Liability insurance with limits not less than $2,000,000 per occurrence and aggregate.",Indemnity Risk
"HDS agrees to provide and maintain at its own expense, the following insurance coverages:",Indemnity Risk
"Umbrella / Excess Liability coverage inclusive of product liability with limits not less than $5,000,000 per  occurrence and aggregate.",Indemnity Risk
"Commercial General Liability coverage of product liability with limits no less than $1,000,000 per occurrence  and $2,000,000 aggregate.",Indemnity Risk
"The Celebrity shall be named as an additional insured on coverages A, B and C.",Indemnity Risk
"Sponsor Website or Vitamin Buzz contained in the Sponsor logos or the Sponsor banner advertisements are established in accordance with the terms of this Agreement, subject to earlier termination as set forth in this Agreement.",Termination Risk
"If the Launch Date has not occurred by August 31, 1999, Sponsor shall, in its sole discretion, be entitled to terminate this Agreement without any liability and receive a full refund of all amounts paid by Sponsor to drkoop.com pursuant to this Agreement prior to the date of such termination.",Termination Risk
"The initial term (the ""Initial Term""; and together with all extensions and renewals, the ""Term"") will begin on the date set forth above * * * (the ""Launch Date"") on which: (i) each of the Sponsor Areas of the drkoop.com Website are operational in accordance with the terms of this Agreement (other than the e-commerce tile placements); and (ii) the links to the",Termination Risk
"This Agreement shall be construed and enforced in accordance with the laws of the State of Delaware, but without giving effect to its laws or rules relating to conflicts of laws.",Standard Clause
"EXCEPT AS SET FORTH IN SECTION 6.3, IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE OTHER FOR ANY SPECIAL, INCIDENTAL, CONSEQUENTIAL OR PUNITIVE DAMAGES ARISING OUT OF THIS AGREEMENT OR ITS TERMINATION, WHETHER LIABILITY IS ASSERTED IN CONTRACT, TORT (INCLUDING NEGLIGENCE) STRICT LIABILITY OR OTHERWISE AND IRRESPECTIVE OF WHETHER SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF ANY SUCH LOSS OR DAMAGE.",Liability Risk
This Agreement shall become effective on the date of execution and shall continue in force and effect for an indefinite term thereafter unless terminated pursuant to the provisions of Article 16 or by all the Parties in writing.,Termination Risk
his Agreement shall be governed by and construed in accordance with the laws of India and the Delhi Courts shall have exclusive jurisdiction over any legal proceedings in respect of this Agreement.,Standard Clause
"If the JVC fails to sell [one million dollars (US$ 1,000,000.00)] worth of Products in the Territory within [eighteen (18)] months from the date of execution of this Agreement, both the Parties will mutually discuss whether to continue or terminate the Agreement.",Payment Risk
"The term of this Agreement (the ""Term"") shall commence on the date hereof       (the ""Effective Date"") and shall expire upon delivery of [**] to ebix,       but in no way shall this Agreement extend any later than thirty (30)       months from the Effective Date regardless of the number Filled       Application Forms delivered to ebix. About will make commercially       reasonable efforts to achieve that number in twelve (12) months or less       from the Effective Date.",Termination Risk
"This Agreement will be governed by the laws of the state where a suit is properly filed under the terms of this paragraph, being either Illinois or New York, and without giving effect to conflict of law principles.",Standard Clause
"eBix may terminate this Agreement, [**] upon [**] to About; provided,       however, that the termination is no earlier than [**] of the Effective       Date of this Agreement.",Termination Risk
"The ebix Insurance Center shall be operational and fully functionally at least ninety nine percent (99.0%) of the time during the Term, without taking into account scheduled downtime and maintenance which shall not exceed in the aggregate, one (1) hour in any one (1) month perio",Payment Risk
"NEITHER PARTY SHALL HAVE ANY LIABILITY FOR ANY INDIRECT, SPECIAL, PUNITIVE OR CONSEQUENTIAL DAMAGES INCLUDING, WITHOUT THE LIMITATION, LOSS OF PROFIT OR BUSINESS OPPORTUNITIES, WHETHER OR NOT THE PARTY WAS ADVISED OF THE POSSIBILTY OF SUCH.",Liability Risk
"This term of this Agreement commences on the Effective Date and terminates on August 2nd, 2015 upon completion of event.",Termination Risk
This Agreement is to be governed and construed according to the laws of the State of California without regard to conflicts of law.,Standard Clause
"EXCEPT FOR INDEMNIFICATION  OBLIGATIONS DUE TO LIABILITIES TO THIRD PARTIES, NOTWITHSTANDING ANY PROVISION CONTAINED IN THIS AGREEMENT TO THE CONTRARY, NO PARTY TO THIS AGREEMENT WILL BE LIABLE TO ANY OTHER PARTY TO THIS AGREEMENT FOR ANY INCIDENTAL, INDIRECT, SPECIAL, CONSEQUENTIAL OR PUNITIVE DAMAGES (INCLUDING DAMAGES FOR LOSS OF USE, POWER, BUSINESS GOOD WILL, REVENUE OR PROFIT, NOR FOR INCREASED EXPENSES, OR BUSINESS INTERRUPTION) ARISING OUT OF OR RELATED TO THE PERFORMANCE OR NON PERFORMANCE OF THIS AGREEMENT UNLESS THE DAMAGES AROSE DUE TO A PARTY'S GROSS NEGLIGENCE OR WILLFUL BREACH OF THIS AGREEMENT.",Liability Risk
"Without limiting or qualifying the Sponsor's liabilities, obligations, or indemnities, before the Event, the Sponsor will obtain, at its sole cost and expense, a comprehensive general liability insurance policy from a company acceptable to ANTHEMIC and authorized to do business in the state of Illinois with limits of no less than $1,000,000.00 per occurrence and $2,000,000.00 as an annual aggregate. The insurance mentioned in the preceding sentence will name ANTHEMIC as additional insured. The Sponsor will also maintain any statutorily required workers compensation insurance.",Indemnity Risk
"""Term"" means: 1.5t January 2013 to 315t December 2013 or until terminated under the provisions of this Agreement or the Primary Agreement.",Termination Risk
The period of license granted shall be for the Term and shall extend for a period of twenty four (24) months or until terminated as per clause 8 herein.,Termination Risk
"This Agreement shall be governed by the laws of England and Wales, and all actions brought hereunder whether at law or in equity shall be brought in England.",Standard Clause
"In consideration for the licenses granted hereunder, Company agrees to pay to CSA as follows:   a. A  [***]in the amount of [***]of Company's revenues from sales of the Property Training  Course and all Products after deductions for VAT, returns, refunds",Payment Risk
"In accordance with the Primary Agreement, the Talent agrees that during the Term, he will make public appearances at the request of the Company, to include appearing at Company events and/or participating in photo shoots as requested by Company, not to exceed more than four such appearances or photo shoots per calendar year.",Payment Risk
"The term of this agreement will begin on April 1, 2018 and continue until April 30, 2018 at 11:59pm.",Termination Risk
"This Agreement shall be governed by and interpreted in accordance with the laws of the State of Florida, without regard to its conflict-of-laws or choice-of law principles.",Standard Clause
Sponsors must have their own liability insurance with limits of one million dollars.,Indemnity Risk
"The rights granted hereunder shall be effective as of the Effective Date and shall expire on December 31, 2006 (the ""Term""); provided, however, that with respect to each Property, including Robots, Kingdom of Heaven, Mr. and Mrs. Smith, In Her Shoes, Idiocracy (Oww My Balls) and Ice Age II, all right and licenses granted herein will continue in full force and effect until March 31, 2008.""",Termination Risk
"The term of this Agreement starts on the Effective Date and, unless this Agreement is earlier terminated in accordance with its provisions, will expire ten (10) years from the Effective Date.",Termination Risk
"You will have the right to renew your rights to operate the Franchise Business for two (2) additional successor terms of five (5) years, so long as you have satisfied all of the conditions specified in Sections 2.2.1 through 2.2.10 before each such renewal: 2.2.1 You agree to give us written notice of your choice to renew at least six (6) months before the end of the term of this Agreement (but not more than nine (9) months before the term expires).",Termination Risk
"In sum, Minn. Stat. § 80C.14 (subd. 3) currently requires, except in certain specified cases, that a franchisee be given 90 days' notice of termination (with 60 days to cure) of the Franchise Agreement.",Termination Risk
"With respect to franchisees governed by Minnesota law, we will comply with Minn. Stat. § 80C.14, Subds. 3, 4, and 5 which require, except in certain specified cases, that a franchisee be given 90 days' notice of termination (with 60 days to cure) and 180 days' notice of non-renewal of the Franchise Agreement, and that consent to the transfer of the franchise not be unreasonably withheld.",Termination Risk
The Franchise Agreement requires application of the laws of the State of Texas.,Standard Clause
"This Agreement will be interpreted and construed exclusively under the laws of the State of Texas, which laws will prevail in the event of any conflict of law (without regard to, and without giving effect to, the application of Texas choice-of-law rules); provided, however, that if the covenants in Section 19 of this Agreement would not be enforced as written under

Page 55 of 80





Texas law, then the parties agree that those covenants will instead be interpreted and construed under the laws of the state in which the Franchised Business is located.",Standard Clause
We will receive all Commissions (defined below) from insurance carriers.,Payment Risk
"4.2.2 the term ""Commission"" will mean the total fees paid in cash to us, by insurance carriers as a percentage of the Premiums generated by insurance policies sold by the Franchised Business, on all new and renewal policies.",Payment Risk
written approval for the Operating Principal to hold a smaller interest.,Payment Risk
"The term ""Minimum Royalty"" means a minimum monthly Royalty Fee payment, beginning six (6) months after the Commencement Date, in the following amounts: Number of Months following the Commencement Date Amount of Monthly Minimum Royalty

Six (6) to Eighteen (18) Six Hundred Dollars ($600) Nineteen (19) and for the remainder of the term of this Agreement",Payment Risk
"The Operating Principal must supervise the operation of the Franchised Business and must own at least five percent (5%) of the voting and ownership interests in the franchisee entity, unless you obtain our prior",Payment Risk
"If your performance under such standards fails to meet or exceed the performance of the lowest twenty-five percent (25%) of all franchised Goosehead Businesses operating under the System, as we determine, in any one (1) fiscal quarter of any fiscal year, we may elect to: (a) require you and such other of your employees, as we determine, to attend and complete to our satisfaction such additional training programs that we deem necessary; or (b) provide such on-site assistance and consultation as we deem necessary. In the event we provide any such additional training, assistance or consultation, you will be responsible for all costs and expenses for that training assistance or consultation, which may include a fee payable to us.",Payment Risk
"If you fail to improve your performance under such standards by at least ten percent (10%), and fail to meet or exceed the performance of the lowest twenty-five percent (25%) of all franchised Goosehead Businesses operating under the System in each subsequent fiscal quarter we may, in our discretion, place your agency in default status, which may result in termination pursuant to Section 17.3 below.",Payment Risk
"The Royalty Fee will be the following amounts: (a) the greater of (i) twenty percent (20%) of Gross Revenues on insurance policies in their initial term, or (ii) the Minimum Royalty (defined below); and (b) fifty percent (50%) of Gross Revenues on policies in their renewal terms and policies written for existing customers on the same risk profile within a one-year period of the cancellation of their existing policy (also known as ""re-writes"").",Payment Risk
You acknowledge that we will have no liability to you or any regulatory authority for any failure by you to obtain or maintain during the term of this Agreement any necessary licenses or approvals required for the operation of the Franchised Business.,Liability Risk
Any claims arising under the Maryland Franchise Registration and Disclosure Law must be brought within three (3) years after the grant of the franchise.,Liability Risk
Any claims arising under the Maryland Franchise Registration and Disclosure Law must be brought within 3 years after the grant of the franchise.,Liability Risk
"Each party to this agreement agrees that any and all claims and actions arising out of or relating to this agreement, the parties' relationship, and/or your operation of the franchised business, brought by any party hereto against the other, shall be commenced within one (1) year from the occurrence of the facts giving rise to such claim or action, or, it is expressly acknowledged and agreed by all parties, such claim or action shall be irrevocably barred; provided, however, that the time limit for filing claims contained in this Section 27.7 shall not apply",Liability Risk
to claims or actions arising under the Illinois Franchise Disclosure Act.,Liability Risk
"EACH PARTY TO THIS AGREEMENT HEREBY WAIVES TO THE FULLEST EXTENT PERMITTED BY LAW ANY RIGHT TO OR CLAIM OF ANY PUNITIVE OR EXEMPLARY DAMAGES AGAINST THE OTHER, AND AGREE THAT IN THE EVENT OF A DISPUTE BETWEEN THEM EACH SHALL BE LIMITED TO THE RECOVERY OF ANY ACTUAL DAMAGES SUSTAINED BY IT.",Liability Risk
"If we terminate this Agreement based on your default, or if you abandon or otherwise cease to operate the Franchised Business, in addition to all other amounts due to us under this Agreement, you agree to pay to us, as liquidated damages, an amount calculated as follows: (a) the average of your monthly Royalty Fees that are due under this Agreement for the twelve (12) months immediately before your abandonment or our delivery of the notice of default (or, if you have been operating for less than 12 months, the average of your monthly Royalty Fees for the number of months you have operated the Franchised Business); (b) multiplied by the lesser of 36 or the number of months remaining in the then-current term of this Agreement under Section 2.",Liability Risk
"If your Approved Location is located in a flood zone other than B, C or X, as determined by the Federal Emergency Management Agency, you must also obtain flood insurance coverage in the amount of the lesser of 90% of the replacement cost or the maximum coverage available from the National Flood Insurance Program.",Indemnity Risk
"Professional indemnity insurance providing coverage for loss or damage arising out of an act or omission of the franchisee or its employees, minimum of $1,000,000 of coverage for every $5,000,000 of annual written premium by you with a floor of $1,000,000 of coverage and a maximum deductible of $25,000 allowed.",Indemnity Risk
"Property insurance providing coverage for direct physical loss or damage to real and personal property for all risk perils, including the perils of flood and earthquake.",Indemnity Risk
"you agree to provide us with proof of insurance evidencing the proper coverage with limits not less than those required under this Agreement, in such form as we may reasonably require.",Indemnity Risk
"Such interest may include all rights of yours under this Agreement and all rights of yours in the lists of customers, prospects and policyholders and all business records and information regarding those customers, prospects and policyholders, including the name and address of the applicant or policyholder and the date of expiration and policy limits of any insurance policy or renewal, rights to solicit the customers, prospects and policyholders for the sale of insurance products and renewal of policyholders' current policies, rights to new, renewal or other commissions and compensation from the insurance carriers or their agents, book of business, furniture, fixtures, equipment and the rights under the lease for the Approved Location.",Indemnity Risk
"Statutory workers' compensation insurance and employer's liability insurance for a minimum limit equal to at least the greater of One Hundred Thousand Dollars ($100,000) or the amounts required as underlying by your umbrella carrier, as well as such other disability benefits type insurance as may be required by statute or rule of the state in which the Franchised Business is located.",Indemnity Risk
"Any other insurance coverage that is required by federal, state, or municipal law.",Indemnity Risk
"Appropriate coverage must also be provided for business interruption/extra expense exposures, written on an actual loss sustained basis.",Indemnity Risk
"In connection with all significant construction, reconstruction, or remodeling of the Franchised Business during the term of this Agreement, you agree to require the general contractor, its subcontractors, and any other contractor, to effect and maintain at general contractor's and all other contractor's own expense, such insurance policies and bonds with such endorsements as are set forth in the Manual, all written by insurance or bonding companies that we have approved, having a rating as set forth in Section 15.1 above.",Indemnity Risk
"Additional certificates evidencing the insurance required by Section 15.1 above must name us, and each of our affiliates, directors, agents, and employees, as additional insured parties, and must expressly provide that any interest of same therein will not be affected by any breach by you of any policy provisions for which such certificates evidence coverage.",Indemnity Risk
"Before starting any activities or operations under this Agreement, you agree to procure and maintain in full force and effect during the term of this Agreement (and for such period thereafter as is necessary to provide the coverages required under this Agreement for events having occurred during the Term of this Agreement), at your expense, at least the following insurance policy or policies in connection with the Franchised Business or other facilities on premises, or by reason of the construction, operation, or occupancy of the Franchised Business or other facilities on premises. Such policy or policies must be written by an insurance company or companies we have approved, having at all times a rating of at least ""A-"" in the most recent Key Rating Guide published by the A.M. Best Company (or another rating that we reasonably designate if A.M. Best Company no longer

Page 35 of 80





publishes the Key Rating Guide) and licensed and admitted to do business in the state in which the Franchised Business is located, and must include, at a minimum (except that we may reasonably specify additional coverages and higher policy limits for all franchisees periodically in the Manual or otherwise in writing to reflect inflation, identification of new risks, changes in the law or standards of liability, higher damage awards and other relevant changes in circumstances), the following: 15.1.1 Commercial general liability insurance, including us, and any entity in which we have an interest and any entity affiliated with us and each of our members, managers, shareholders, directors, officers, partners, employees, servants and agents as additional insureds protecting against any and all claims for personal, bodily and/or property injury occurring in or about the Franchised Business and protecting against assumed or contractual liability under this Agreement with respect to the Franchised Business and your operations, with such policy to be placed with minimum limits of One Million Dollars ($1,000,000) combined single limit per occurrence and One Million Dollars ($1,000,000) general aggregate per location; provided, however, that at our election, such minimum limits may be periodically increased.",Indemnity Risk
Data theft and cybersecurity coverage.,Indemnity Risk
"At least thirty (30) days before the time you are first required to carry any insurance under this Agreement, and from then on, at least thirty (30) days before the expiration of any such policy, you agree to deliver to us certificates of insurance evidencing the proper coverage with limits not less than those required under this Agreement.",Indemnity Risk
"Commercial umbrella liability insurance with limits which bring the total of all primary underlying coverages (commercial general liability, comprehensive automobile liability, and employers liability) to not less than Two Million Dollars ($2,000,000) total limit of liability.",Indemnity Risk
"Business automobile liability insurance, including owned, non-owned and hired car coverage providing third party liability insurance, covering all licensed vehicles owned or operated by or on behalf of you, with limits of liability not less than One Million Dollars ($1,000,000) combined single limit for both bodily injury and property damage.",Indemnity Risk
"In addition to your obligations under Section 15.7 above, on the first anniversary of the Effective Date, and on each subsequent anniversary of the Effective Date,",Indemnity Risk
"Franchisor, along with its successors and assigns, is an intended third party beneficiary of the provisions of this Addendum.",Standard Clause
"Such covenants must be on a form that we provide, which form will, among other things, designate us as a third party beneficiary of such covenants with the independent right to enforce them.",Standard Clause
"April 15, 2000 through October 15,                                 2000 (6 Months from the Effective Date)",Termination Risk
"Provided  that COMWARE  purchases a minimum of $45,420.00      worth of  Products,  in any  combination,  during the Initial  Distribution





     Period,  this Agreement will automatically renew for an additional 6 months      (the Renewal  Period).",Termination Risk
"This Agreement shall be interpreted and      governed by the laws of the State of Texas. Comware agrees to submit to the      jurisdiction of the State of Texas, Bexar County, USA.",Standard Clause
"except as  specifically  described  elsewhere  in this  agreement,      either ITS or COMWARE shall have the right to terminate this Agreement with      30 days written notice from the other party, for any reason whatsoever.",Termination Risk
"COMWARE must purchase no less than $22,710.00 worth of Products, in any        combination,  by April 15, 2000.",Payment Risk
"COMWARE must purchase order a minimum      of $4,200 worth of Products per month during the Renewal Period TO maintain      the terms and conditions of this  Agreement.",Payment Risk
"In the event COMWARE  purchases an amount less than      $45,420.00, than this Agreement will automatically terminate.",Payment Risk
"In the event COMWARE does not      meet these minimum purchase requirements, this Agreement will automatically      and  immediately  terminate and neither of the parties hereto will have any      further obligations, one to the other.",Payment Risk
"XIMAGE's obligations hereunder shall become effective upon the      ""Effective Date"" and, unless sooner terminated as provided herein, shall      remain in full force and effect for at least one year thereafter.",Termination Risk
This      Agreement shall automatically renew for consecutive one (1) year terms      at XIMAGE's then prevailing rates at the end of each one (1) year term      unless either party gives at least sixty (60) days prior written notice      of the non-renewal of this Agreement.,Termination Risk
"All interventions on site are subject to a minimum total charge of      $2,000.",Payment Risk
"MORPHO agrees that XIMAGE's total liability to MORPHO for any damages      suffered in connection with, or arising out of, this Agreement or      MORPHO's use of any documentation, product or service provided (or to be      provided) hereunder, regardless of whether any such liability is based      upon contract, tort or other basis, shall be limited to an amount not to      exceed the basic Monthly Maintenance Charges, for a sixty (60) day term      under this Agreement.",Liability Risk
"IN NO EVENT SHALL, XIMAGE BE LIABLE TO MORPHO FOR ANY INCIDENTAL,      CONSEQUENTIAL, SPECIAL OR INDIRECT DAMAGES (INCLUDING WITHOUT      LIMITATION, DAMAGES ARISING FROM LOSS OF BUSINESS, DATA, PROFITS OR      GOODWILL) INCURRED OR SUFFERED BY MORPHO IN CONNECTION WITH, OR ARISING      OUT OF, THIS AGREEMENT OR MORPHO'S USE OF ANY DOCUMENTATION OR SOFTWARE      OR SERVICES PROVIDED, OR TO BE PROVIDED, HEREUNDER, EVEN IF XIMAGE HAS      BEEN APPRISED OF THE LIKELIHOOD OF THE SAME. NO ACTION, REGARDLESS OF      FORM, RELATED TO TRANSACTIONS OCCURRING UNDER, OR CONTEMPLATED BY, THIS      AGREEMENT MAY BE BROUGHT BY EITHER PARTY MORE THAN ONE (1) YEAR AFTER      THE CAUSE OF ACTION HAS ACCRUED.",Liability Risk
"The initial term of this Agreement shall be for a period of four (4) years, commencing on the Effective Date, which term may be extended for up to three (3) years by written agreement of both Parties prior to the expiration date of the initial term or any extension thereof (collectively, the ""Term"").",Termination Risk
"The other Party will then have a period of fourteen (14) days from the date of the notice to indicate whether it also desires to extend the Term, on the terms and conditions set forth herein and if no such indication is made, the other Party will be deemed to have declined the offer to extend",Termination Risk
"In the event that either Wade or Naked wishes to extend the Term of the Agreement as contemplated above, it shall provide the other Party with written notice at least ninety (90) days prior to the expiration of the Term.",Termination Risk
"This Agreement, all amendments hereto, and any and all issues or controversies arising here from or related hereto, shall be governed by and construed exclusively in accordance with the laws of the State of New York.",Standard Clause
"Wade is hereby granted a warrant (the ""Grant Warrant"") exercisable for a period of seven (7) years from the date of issuance for the number of shares of Common Stock equal to [***] shares of Common Stock (the ""Wade Grant""), subject to the following terms:",Payment Risk
"As consideration for Wade's services under this Agreement, Naked will pay Wade royalties as follows:

A. Royalties. Naked will report, and Wade will be paid, royalty payments at [***]",Payment Risk
"Wade shall be available to render services at such production day for a maximum of three (3) consecutive hours, not including scheduled breaks, during each such production day period; provided that, in the event an additional production day is reasonably required for the creation of marketing assets related to the Wade Product packaging, Athlete will be available to render services for up to an additional three (3) hours in either the first Contract Year or the second Contract Year but not both.",Payment Risk
"During each Contract Year, Wade will be available for two (2) personal appearances (each, a ""Personal Appearance"") on behalf of Naked and the Naked Products and Wade Products in the media, including publicity shoots, interviews, print, television, radio and social media channels, each appearance for a maximum of sixty (60) consecutive minutes to be scheduled at a time mutually agreeable to Naked and Wade;",Payment Risk
"Beginning in the second Contract Year, Wade will be available for a maximum of one (1) production day for creating marketing assets for Wade Products and Naked Products for unlimited use in advertisements and the media, for a maximum of three (3) consecutive hours, not including scheduled breaks, during such production day period.",Payment Risk
"The Term of this Agreement (the ""Term"") shall commence on the Effective Date listed above and continue for twenty (20) years, unless sooner terminated as provided in Section 7(b).",Termination Risk
"The merits of the dispute shall be resolved in accordance with the laws of the State of New York, without reference to its choice of law rules.",Standard Clause
Such Advertising shall be determined by Licensee in its sole discretion and Licensee shall be entitled to retain all revenues resulting from the sale of Advertising.,Payment Risk
"The consideration for the licenses granted by Licensor to Licensee under this Agreement is the issuance of the IP Common Shares as defined in the Securities Purchase Agreement, dated as of November 23, 2015, by and among the Licensee and the Licensor (the ""Share Consideration"").",Payment Risk
"For content listed in Schedule A6 of Schedule A, Licensor will only grant Licensee certain profit participation rights, for certain durations, as detailed and set forth in Schedule A6 of Schedule A.",Payment Risk
"The term of this Agreement (""Term"") will begin on the date this Agreement is signed by the last signatory (""Effective Date"") and remain in effect for [***]; provided, however, that the terms of this Agreement shall remain applicable to any SOW that was executed by the Parties prior to the expiration or termination of this Agreement but whose period of performance extends beyond the expiration or termination of this Agreement.",Termination Risk
"This Agreement is governed by the laws of the State of Texas, without regard to the conflict of laws provisions thereof.",Standard Clause
"Except for claims arising out of Articles 4.3 and 7.0, or as may be set forth in a SOW, neither Party will be liable for any consequential damages, lost profits, lost savings, loss of anticipated revenue, or any exemplary, punitive, special or indirect damages, even if advised of their possibility.",Liability Risk
"This Agreement shall commence on the Effective Date and shall be valid until the [* * *] (the ""Initial Term"").",Termination Risk
"Should the Parties have not agreed to the following agreement by [* * *], this Agreement shall automatically stay in force for a maximum of [* * *] (unless otherwise mutually agreed by the Parties or as otherwise set forth in Section 18.1(a)) or until the Parties have signed the follow-on agreement (the ""Renewal Term"").",Termination Risk
"This Agreement is effective as of the Effective Date and will expire in accordance with Section 2.1, unless, upon the occurrence of any of the following events, this Agreement is earlier terminated in accordance with this Section 18.1:

a) Customer delivers written notice of termination to Supplier at least [* * *] prior to the expiration date of the Initial Term, which termination shall be effective as of the expiration date of the Initial Term;

b) either Party delivers written notice of termination to the other Party at least [* * *] prior to the expiration date of the Renewal Term, which termination shall be effective as of the expiration date of the Renewal Term;",Termination Risk
"This Agreement shall be governed by and construed in accordance with the substantive Laws of the [* * *], excluding any rules of conflicts of laws that would apply the substantive laws of any other jurisdiction.",Standard Clause
"Customer shall have the right to terminate any Scope of Work and corresponding Purchase Order for Services at any time on reasonable advance written notice to Supplier (without terminating this Agreement), in which case Customer shall be responsible for:

[* * *]",Termination Risk
"During the Term of this Agreement, either Party may request an increase or decrease of the Fees specified in Exhibit C no more than [* * *] and such change in Fees shall take effect on [* * *] for which such Fee change is requested.",Payment Risk
"n case of an order volume equal or less than [* * *]: The first [* * *] of each short term rolling forecast shall be binding firm purchase orders by Customer (each a ""Purchase Order"") and the last [* * *] of each short term rolling forecast shall be non-binding, good faith estimates.",Payment Risk
"EXCEPT AS SET FORTH BELOW IN THIS SECTION 13.4(b), WITH RESPECT [* * *], IN NO EVENT SHALL A PARTY'S LIABILITY BE GREATER THAN, PER CLAIM OR SERIES OF CLAIMS ARISING FROM THE SAME CAUSE OF ACTION, [* * *].",Liability Risk
"EXCEPT AS SET FORTH BELOW IN THIS SECTION 13.4(b), [* * *], AS APPLICABLE, IN NO EVENT SHALL A PARTY'S LIABILITY, HOWEVER CAUSED AND ON ANY THEORY OF LIABILITY, BE GREATER THAN, PER CLAIM OR SERIES OF CLAIMS ARISING FROM THE SAME CAUSE OF ACTION, [* * *].",Liability Risk
"For clarity, nothing in this Section 3.1 limits Supplier's liability under this Agreement or under law, including liability for negligence, willful misconduct and failure to comply with Product Specifications; [* * *].",Liability Risk
"EXCEPT AS SET FORTH BELOW IN THIS SECTION 13.4(b), IN NO EVENT WILL SUPPLIER'S LIABILITY, [* * *], BE GREATER THAN, PER CLAIM OR SERIES OF CLAIMS ARISING FROM THE SAME CAUSE OF ACTION, [* * *].",Liability Risk
"NOTWITHSTANDING ANYTHING TO THE CONTRARY IN THIS SECTION 13.4(b), WITH RESPECT TO [* * *] IN NO EVENT SHALL SUPPLIER'S LIABILITY, HOWEVER CAUSED AND ON ANY THEORY OF LIABILITY, BE GREATER THAN, PER CLAIM OR SERIES OF CLAIMS ARISING FROM THE SAME CAUSE OF ACTION, [* * *].",Liability Risk
"[* * *], IN NO EVENT SHALL EITHER PARTY BE LIABLE FOR ANY SPECIAL, CONSEQUENTIAL, PUNITIVE, INCIDENTAL OR INDIRECT DAMAGES, OR LOST PROFITS, HOWEVER CAUSED, ON ANY THEORY OF LIABILITY. THIS LIMITATION WILL APPLY EVEN IF THE OTHER PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE.",Liability Risk
Customer and Supplier each represent that they are sufficiently insured against any liability arising under this Agreement.,Indemnity Risk
Each Party may request that the other Party procure and maintain such additional insurance coverage relating to the Manufacture of the Product and the facilities therefore as may be reasonably necessary in respect of the Parties' respective obligations under this Agreement.,Indemnity Risk
"Each of Customer and Supplier shall, upon request by the other, provide the other Party with a copy of all insurance policies maintained under this Article 15 relating to the Manufacture of the Product in bulk quantities and the facilities therefor and shall notify the other Party in writing at least 30 days prior to the cancellation of or any material change to such insurance policies.",Indemnity Risk
"The cost of storage, monitoring (including any on-going analytical analysis), and insurance before shipment shall be borne by [* * *].",Indemnity Risk
"Unless sooner terminated in accordance with the provisions of this Agreement, this Agreement will expire on _______________________________________.",Termination Risk
"You must operate the Franchise at a mutually agreeable site (the ""Premises"") to be identified after the signing of this Agreement, and to use the System and the Marks in the operation of that Franchise, for a term of 10 years (the ""Initial Term"")",Termination Risk
"Subject to the provisions of subparagraph 2.6(b) below, and if you have substantially complied with all provisions of this Agreement and all other agreements between us, on expiration of the Initial Term, if you refurbish and decorate the Premises, replace fixtures, furnishings, wall decor, furniture, equipment, and signs and otherwise modify the Franchise in compliance with specifications and standards then applicable under new or renewal franchises for The Joint Corp. Location franchises, you will have the right to renew the Franchise for one (1) additional term of ten (10) years (the ""Renewal Term"").",Termination Risk
"Should you choose to renew the Franchise, you must provide us with written notice of that intent no earlier than two (2) years and no later than one (1) year before the expiration of the Initial Term.",Termination Risk
"Except to the extent governed by the United States Trademark Act of 1946 (Lanham Act, 15 U.S.C. §§ 1051  et seq.) and except that all issues relating to arbitrability or the enforcement or interpretation of the agreement to arbitrate set forth in Section 17.9 which will be governed by the United States Arbitration Act (9 U.S.C. § 1  et seq.) and the federal common law relating to arbitration, this Agreement and the Franchise will be governed by the internal laws of the State of Arizona (without reference to its choice of law and conflict of law rules), except that the provisions of any Arizona law relating to the offer and sale of business opportunities or franchises or governing the relationship of a franchisor and its franchisees will not apply unless their jurisdictional requirements are met independently without reference to this Paragraph.",Standard Clause
We will have the right to terminate the Ad Fund by giving you thirty (30) days' advance written notice.,Termination Risk
"As of the date of this Agreement, the current required contribution to the Ad Fund is one percent (1%) of the gross revenues of the Franchise.",Payment Risk
